Product Type; Book Name; Genre; UPC; Price (excl. tax); Price (incl. tax); Tax; Availability; Number of Reviews
Books; A Light in the Attic; Poetry; a897fe39b1053632; £51.77; £51.77; £0.00; In stock (22 available); 0
Books; Tipping the Velvet; Historical Fiction; 90fa61229261140a; £53.74; £53.74; £0.00; In stock (20 available); 0
Books; Soumission; Fiction; 6957f44c3847a760; £50.10; £50.10; £0.00; In stock (20 available); 0
Books; Sharp Objects; Mystery; e00eb4fd7b871a48; £47.82; £47.82; £0.00; In stock (20 available); 0
Books; Sapiens: A Brief History of Humankind; History; 4165285e1663650f; £54.23; £54.23; £0.00; In stock (20 available); 0
Books; The Requiem Red; Young Adult; f77dbf2323deb740; £22.65; £22.65; £0.00; In stock (19 available); 0
Books; The Dirty Little Secrets of Getting Your Dream Job; Business; 2597b5a345f45e1b; £33.34; £33.34; £0.00; In stock (19 available); 0
Books; The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull; Default; e72a5dfc7e9267b2; £17.93; £17.93; £0.00; In stock (19 available); 0
Books; The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics; Default; e10e1e165dc8be4a; £22.60; £22.60; £0.00; In stock (19 available); 0
Books; The Black Maria; Poetry; 1dfe412b8ac00530; £52.15; £52.15; £0.00; In stock (19 available); 0
Books; Starving Hearts (Triangular Trade Trilogy, #1); Default; 0312262ecafa5a40; £13.99; £13.99; £0.00; In stock (19 available); 0
Books; Shakespeare's Sonnets; Poetry; 30a7f60cd76ca58c; £20.66; £20.66; £0.00; In stock (19 available); 0
Books; Set Me Free; Young Adult; ce6396b0f23f6ecc; £17.46; £17.46; £0.00; In stock (19 available); 0
Books; Scott Pilgrim's Precious Little Life (Scott Pilgrim #1); Sequential Art; 3b1c02bac2a429e6; £52.29; £52.29; £0.00; In stock (19 available); 0
Books; Rip it Up and Start Again; Music; a34ba96d4081e6a4; £35.02; £35.02; £0.00; In stock (19 available); 0
Books; Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991; Music; deda3e61b9514b83; £57.25; £57.25; £0.00; In stock (19 available); 0
Books; Olio; Poetry; feb7cc7701ecf901; £23.88; £23.88; £0.00; In stock (19 available); 0
Books; Mesaerion: The Best Science Fiction Stories 1800-1849; Science Fiction; e30f54cea9b38190; £37.59; £37.59; £0.00; In stock (19 available); 0
Books; Libertarianism for Beginners; Politics; a18a4f574854aced; £51.33; £51.33; £0.00; In stock (19 available); 0
Books; It's Only the Himalayas; Travel; a22124811bfa8350; £45.17; £45.17; £0.00; In stock (19 available); 0
Books; In Her Wake; Thriller; 23356462d1320d61; £12.84; £12.84; £0.00; In stock (19 available); 0
Books; How Music Works; Music; 327f68a59745c102; £37.32; £37.32; £0.00; In stock (19 available); 0
Books; Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More; Food and Drink; 5674a18a29a43ced; £30.52; £30.52; £0.00; In stock (19 available); 0
Books; Chase Me (Paris Nights #2); Romance; c2e46a2ee3b4a322; £25.27; £25.27; £0.00; In stock (19 available); 0
Books; Black Dust; Romance; 00bfed9e18bb36f3; £34.53; £34.53; £0.00; In stock (19 available); 0
Books; Birdsong: A Story in Pictures; Childrens; 9528d0948525bf5f; £54.64; £54.64; £0.00; In stock (19 available); 0
